assignment.ProductPrice,demo
productPriceId,productId,priceTypeEnumId,fromDate,thruDate,price
PP001,P001,LIST_PRICE,2025-01-01T00:00:00,,499.99
PP002,P001,CURRENT_PRICE,2025-01-01T00:00:00,,449.99
PP003,P002,LIST_PRICE,2025-01-01T00:00:00,,25.99
PP004,P002,CURRENT_PRICE,2025-01-01T00:00:00,,22.99
PP005,P003,LIST_PRICE,2025-01-01T00:00:00,,19.99
PP006,P003,PROMOTIONAL_PRICE,2025-01-01T00:00:00,,14.99
PP007,P004,LIST_PRICE,2025-01-01T00:00:00,,799.99
PP008,P004,CURRENT_PRICE,2025-01-01T00:00:00,,749.99
PP009,P005,LIST_PRICE,2025-01-01T00:00:00,,399.99
PP010,P005,CURRENT_PRICE,2025-01-01T00:00:00,,349.99
PP011,P006,LIST_PRICE,2025-01-01T00:00:00,,1999.99
PP012,P006,AVERAGE_COST,2025-01-01T00:00:00,,1799.99
PP013,P007,LIST_PRICE,2025-01-01T00:00:00,,299.99
PP014,P007,CURRENT_PRICE,2025-01-01T00:00:00,,259.99
PP015,P008,LIST_PRICE,2025-01-01T00:00:00,,1499.99
PP016,P008,COMPETITIVE_PRICE,2025-01-01T00:00:00,,1399.99
PP017,P009,LIST_PRICE,2025-01-01T00:00:00,,199.99
PP018,P009,PROMOTIONAL_PRICE,2025-01-01T00:00:00,,169.99
